가맹점관리,,,,
,,,,
,가맹점명,업종명,전화,가맹점주소
,남철,중식,029977772,서울 강북구 덕릉로 8 1층
,냉면 애 돈가스,한식,029056580,"서울 강북구 노해로21길 8 101호 （수유동,한일그랑빌）"
,대복분식,한식,029806599,"서울 강북구 오현로31길 173, 1층 103호 （번동）"
,대성원,중식,029816384,"서울 강북구 삼양로20길 45, 1층 （미아동）"
,딸만셋의 냉면집,한식,029843006,"서울 강북구 한천로109길 68, 1층 （번동, 신용빌딩）"
,떡고을,식품잡화,029982014,"서울 강북구 한천로 1121, 111호 상가 （수유동, 래미안수유아파트）"
,떡볶이 스타 미아점,한식,029882364,서울 강북구 월계로 53 1층 4호
,또올래,일반대중음식,029929927,"서울 강북구 삼양로123길 1, 1층 （수유동, 삼원빌딩）"
,똘끼차이나,중식,029961112,서울 강북구 도봉로97길 1 1층（수유동）
,뚜레쥬르 미아래미안점,제과점,0261045015,"서울 강북구 삼양로19길 25 107동 지하1층 제3-1호（미아동,래비안트리베라）"
,뚜레쥬르（우이점）,제과점,029028630,서울 강북구 삼양로 621 （우이동）
,뚱스밥버거,한식,029805424,서울 강북구 도봉로23나길 34 1층
,라온김밥,한식,029894309,"서울 강북구 오현로32길 4-8, 1층 （번동, 동보프라자빌딩）"
,락궁,중식,029866200,서울 강북구 덕릉로42길 23 （번동）
,락궁,중식,029002030,"서울 강북구 삼각산로 96, 1층 （수유동）"
,맛밥김밥전문점,한식,029893387,서울 강북구 미아5동 688-5번지
,맛밥두번째이야기,한식,029828945,서울 강북구 솔샘로 211 （미아동）
,맛있는 소풍,한식,029456300,"서울 강북구 솔샘로 254 （미아동,1층1호）"
,맥필드베이커리,제과점,029854904,"서울 강북구 오현로35길 62, 복합상가 102 （번동）"
,머꼬또머꼬,한식,0211121111,서울 강북구 솔매로50길 24 1층
,미산（중화요리）,중식,029031028,서울 강북구 번1동 464-15
,민들레 김밥과 분식,한식,029807277,서울 강북구 삼양로 304 민들레김밥과분식 （수유동）
,박리김밥,한식,029803302,"서울 강북구 솔매로 110, 102 （미아동）"
,백운각,중식,029877975,서울 강북구 오패산로 135 1층
,백운각,중식,029814900,서울 강북구 삼양로46길 4 1층
,별난고기,한식,029879289,"서울 강북구 솔매로22길 3, 1층 （미아동）"
,보배반점,중식,029800293,"서울 강북구 솔샘로 293 （미아동, 승은빌딩）"
,보배반점 미아점,중식,029800293,서울 강북구 솔샘로 293 2층 미아동
,봉구스밥버거 삼각산점,한식,029871875,"서울 강북구 솔샘로 174,상가2동 204호"
,봉구스밥버거 혜화여고점,한식,029881875,"서울 강북구 인수봉로 132, 1층 （수유동）"
,브레드칸,제과점,029936170,"서울 강북구 삼양로123길 1, （수유동）"
,브레드칸,제과점,029648813,"서울 강북구 수유로 83, 1층 （수유동）"
,브레드칸,일반대중음식,07082428196,"서울 강북구 노해로11길 7, 1층 우측 （수유동）"
,빵굽는재석이네,제과점,029827303,"서울 강북구 한천로105길 24, 201동 108호 （번동, 번동2단지주공아파트）"
,빵이좋은사람들1호점,제과점,029804554,서울 강북구 월계로7길 53 （미아동）
,산들김밥&죽,한식,029883031,"서울 강북구 솔매로 82, 1층 （미아동）"
,삼양시장파리바게뜨,제과점,317449525,서울 강북구 삼양로 239 （미아동）
,삼양시장파리바게트-배송비,제과점,317449525,서울 강북구 삼양동 777-18번지
,설악,중식,029834280,서울 강북구 삼양로73길 36 （수유동）
,성화루,중식,029031122,서울 강북구 인수봉로78길 31 1층
,세끼반찬,식품잡화,029871002,서울 강북구 오현로32길 28 1층
,소담집,한식,029885771,"서울 강북구 한천로105길 24, 201동 102호 （번동, 번동2단지주공아파트）"
,소풍,한식,029886039,서울 강북구 도봉로 183 （미아동）
,순김밥,일반대중음식,0211111111,서울 강북구 노해로32길 14 （수유동）
,쉐프밥버거 번동점,한식,029805060,"서울 강북구 오현로 197-2, 1층 （번동）"
,신짬뽕,중식,029914543,"서울 강북구 삼양로 377, 1층 （수유동）"
,싸움의고수,일반대중음식,022341111,서울 강북구 도봉로10다길 7 1층
,아사원,중식,029820555,서울 강북구 삼양로79길 20 （수유동）
,양자강,중식,029877078,서울 강북구 수유로 23 1층
,엄마손떡볶이,한식,0211131111,서울 강북구 한천로109길 27 1층
,에프앤피,한식,029859789,서울 강북구 삼양로 300-1 1층（수유동）
,영빈각,중식,0211121111,서울 강북구 오현로34길 12 지하1층
,오모가리,한식,029899826,서울 강북구 덕릉로28길 27 1층
,왕서방,중식,029800101,서울 강북구 삼양로32나길 19 1층 （미아동）
,유가네 김밥,일반대중음식,029817223,"서울 강북구 한천로109길 13, 1층 （번동）"
,음밥협동조합,한식,029922048,서울 강북구 도봉로87길 34-21 1층
,이엔바이（이n바이）,제과점,029898001,"서울 강북구 솔매로 112, 1층 （미아동）"
,인수동김밥집,한식,0211131111,서울 강북구 인수봉로78길 10 1층
,일품향,중식,029871555,서울 강북구 도봉로29길 16 2층
,자금성,중식,029935061,서울 강북구 번1동 470-1번지 삼성아파트 상가 101호 108호
,장베이커리,제과점,029992555,서울 강북구 노해로17길 12 1층
,잼파파,제과점,029003332,서울 강북구 한천로 1040 1층（수유동）
,중국관,중식,029024321,서울 강북구 삼각산로28길 8 （수유동）
,중국집,중식,029041768,서울 강북구 삼양로 503 （수유동）
,중화반점,중식,029943466,서울 강북구 삼양로 577 1층（우이동）
,진미기사식당,한식,029980010,"서울 강북구 한천로 1163, 1층 （수유동）"
,차우린 해물 짬뽕,중식,029904400,서울 강북구 삼양로 486 1층（수유동）
,찹찹도시락,한식,029888923,서울 강북구 솔샘로48길 3-9 1층（미아동）
,챠이니스토리,중식,319830042,서울 강북구 월계로 55 1층
,케익하우스몽마,제과점,029848949,서울 강북구 미아3동 207-10
,태성루,중식,029880572,"서울 강북구 도봉로18길 7, 1층 （미아동）"
,토마토도시락 미아삼거리역점,일반대중음식,029851087,서울 강북구 미아5동 62-9
,토마토도시락혜화여고점,한식,029458111,"서울 강북구 인수봉로 134, 1층 （수유동）"
,파리바게뜨,제과점,029053300,서울 강북구 수유3동 30번지 265/18 1층
,파리바게뜨,제과점,029970008,서울 강북구 오패산로 413 （번동）
,파리바게뜨 미아 영훈점,제과점,029461112,"서울 강북구 미아5동 61-51번지 1층 3,4호"
,파리바게뜨 미아경남점,제과점,029848200,서울 강북구 오패산로 130 1층
,파리바게뜨 미아신일점,제과점,029848245,"서울 강북구 도봉로 203, 1층 （미아동）"
,파리바게뜨 미아중앙점,제과점,029888244,서울 강북구 도봉로 146 1층
,파리바게뜨 미아풍림점,제과점,029878244,"서울 강북구 삼양로19길 69, 1층 2층 （미아동, 정일빌딩）"
,파리바게뜨 번동주공점,제과점,029838500,"서울 강북구 한천로109길 53, 1층 （번동）"
,파리바게뜨 북한산시티점,제과점,029888204,"서울 강북구 솔샘로 207-1, 1층 （미아동）"
,파리바게뜨번동점,제과점,029942207,서울 강북구 도봉로 382 （번동）
,파리바게뜨수유중앙,제과점,029885887,"서울 강북구 삼양로 307, 1층 （수유동）"
,파스타파파,한식,07087237221,"서울 강북구 도봉로29길 49,1층 （미아동 ）"
,패디앤빅왕돈가스,패스트푸드,029828552,"서울 강북구 수유로 36, 102 （수유동, 이화빌딩）"
,피자스쿨 번동점,패스트푸드,029453301,서울 강북구 오현로 197-2 （번동）
,피자스쿨삼양점,패스트푸드,029841888,"서울 강북구 솔샘로 219, 47 （미아동）"
,한솥도시락（미아신일고점）,한식,0269291007,서울 강북구 도봉로 205 （미아동）
,항아리수제비,한식,029007569,"서울 강북구 삼양로 601, 1층 （우이동）"
,햇살담은 한 그릇,일반대중음식,029821414,서울 강북구 도봉로34길 14 1층
,행복한 쉼터&문화공간 나무그늘,한식,029875508,"서울 강북구 삼양로20길 27, 1층 （미아동）"
,홍가네한식분식,한식,029922166,서울 강북구 덕릉로 41 （수유동）
,홍궁,중식,0218994212,서울 강북구 도봉로97길 66 1층 （수유동）
,홍수식당,한식,029057634,서울 강북구 도봉로99길 41-12 （수유동）
,황금성,한식,029886868,서울 강북구 덕릉로 62  （수유동）
,황제해물짬뽕,중식,0211131111,서울 강북구 솔매로 62 1층 （미아동）
,효동반점,중식,0211131111,서울 강북구 도봉로53길 18 1층
,후루룩 냠냠,한식,029879198,"서울 강북구 삼양로 261, 1층 （미아동, 대성빌딩）"
,153컵밥,일반대중음식,029900153,서울 도봉구 도봉로118길 34 1층
,CU 쌍문백운점,남.여기성복,029061936,"서울 도봉구 도봉로129길 45, 1층 （쌍문동）"
,공간,일반대중음식,0211131111,서울 도봉구 노해로55길 10 1층
,공릉동멸치국수,일반대중음식,029559500,서울 도봉구 도당로27길 51 1층（방학동）
,광천집,한식,022922346,서울 도봉구 도봉로 468 106호 （홍일빌딩）
,구풍원,중식,029938780,서울 도봉구 우이천로4길 25 （창동）
,김가네국수집,한식,029551357,"서울 도봉구 도봉로153길 51, 1층 （방학동）"
,김밥이랑,한식,029609190,"서울 도봉구 도봉로125길 52, 1층 코너 （쌍문동）"
,김밥천국,한식,029999080,서울 도봉구 노해로 137 （쌍문동）
,김밥천국 방학점,한식,0234921286,서울 도봉구 도봉로145길 8 1층
,김밥하우스,한식,029943632,"서울 도봉구 우이천로4길 9, 1층 （창동）"
,끼니해결사,식품잡화,029546525,서울 도봉구 도봉로147길 17 1층
,난짜장 넌짬뽕,중식,029560073,"서울 도봉구 도봉로153길 26, 1층 （도봉동）"
,남경,중식,029047792,"서울 도봉구 해등로 83 101-103호 동진상가 （창동, 동진빌리지）"
,뉴욕핫도그,일반대중음식,029969656,"서울 도봉구 도봉로112길 19, 1층 （창동）"
,달콤샌드위치커피,일반대중음식,0211111111,서울 도봉구 덕릉로60길 63 1층
,도봉지역자활센터,일반대중음식,0220886788,서울 도봉구 마들로 664-17 3층
,도봉지역자활센터,일반대중음식,029551317,서울 도봉구 마들로 664-17 3층
,뚜레쥬르신창시장점,제과점,029936586,서울 도봉구 덕릉로 239 （창동）
,뚜레쥬르창동SM마트,제과점,029910900,"서울 도봉구 덕릉로63가길 60, 1층 （창동）"
,락궁,중식,0234934144,서울 도봉구 마들로28길 63 1층（도봉동）
,락궁,중식,0211111111,"서울 도봉구 노해로41길 9 1층, 쌍문동"
,레드차이나,중식,029558225,서울 도봉구 도당로13다길 21 1층 방학동
,리얼파스타,한식,029952800,"서울 도봉구 도봉로112길 26, 1층 （창동）"
,멸차국수,일반대중음식,029948233,서울 도봉구 해등로16길 12 101호
,명동분식,일반대중음식,0234936556,서울 도봉구 도당로13가길 6 （방학동）
,명동찌개마을,한식,029960082,서울 도봉구 노해로60길 95 （쌍문동）
,모두랑즉석떡볶이,한식,029556883,서울 도봉구 도봉로153길 16 1층
,미사리밀빛초계국수도봉산점,한식,0264091802,"서울 도봉구 도봉산길 43, 107호 （도봉동, 호정프라자）"
,미화반점,중식,029924455,서울 도봉구 해등로 130 1층
,민들레김밥과분식,한식,029043003,"서울 도봉구 도봉로110길 64 101（창동,한일아파트상가）"
,민들레김밥과분식,한식,029567277,"서울 도봉구 마들로 686, 101호 （도봉동, 세림빌딩）"
,박리분식,일반대중음식,029068525,"서울 도봉구 도봉로110길 39-9, 지상 1층 （창동）"
,벧엘제과,식품류제조업,029021854,서울 도봉구 도봉로112길 40 （창동）
,봉구스밥버거 도봉점,일반대중음식,029556633,"서울 도봉구 도봉로 885, 1층 （도봉동）"
,봉구스밥버거 산덕고점,일반대중음식,029004691,서울 도봉구 시루봉로 62 1층
,불란서베이커리,제과점,0211131111,서울 도봉구 우이천로4길 31 （창동）
,비알코리아（주）도봉구청점,패스트푸드,0234955004,"서울 도봉구 마들로 650, 102-12 （방학동, 도봉월드상가）"
,빵이야기,제과점,029541355,서울 도봉구 도봉1동 595럭키@상가105
,사와디 컵밥,한식,029997151,서울 도봉구 덕릉로63가길 61 108호
,산동성,중식,0234912523,서울 도봉구 시루봉로 225 1층 방학동
,산동성,중식,029927171,"서울 도봉구 삼양로144길 25-3, 지하 （쌍문동）"
,산책,일식,029976595,서울 도봉구 삼양로144길 18 （쌍문동）
,생생돈가스,한식,0234945934,"서울 도봉구 방학로 174, 1층 （방학동）"
,샹도르과자점,제과점,029665931,서울 도봉구 창4동 26-31 동아상가 31
,서울뉴욕당제과,제과점,0234924267,서울 도봉구 도봉로153길 39 （방학동）
,설궁,중식,029794225,"서울 도봉구 도봉로104길 104, 해바라기상가 106호 （창동）"
,세평반부엌,한식,029990003,서울 도봉구 우이천로 356 （쌍문동）
,소림성,중식,029548157,서울 도봉구 도당로9길 22 （방학동）
,송림각,중식,0234913334,"서울 도봉구 방학로 223, 2층 204 203 （방학동）"
,신송분식,한식,029929358,서울 도봉구 덕릉로57길 10 （창동）
,신전떡볶이,한식,0263690506,서울 도봉구 도봉산3길 73 1층
,신짜장,중식,0234929209,"서울 도봉구 도봉로145길 56, 1층 （방학동）"
,신창초교파리바게뜨-배송비,제과점,029055545,"서울 도봉구 창3동 484-31번지 1층,2층"
,쌍문역파리바게뜨,제과점,029958205,서울 도봉구 쌍문3동 88-116번지
,아딸-쌍문점,한식,029987600,"서울 도봉구 해등로 198, 1층 외1필지 （쌍문동）"
,언니네키친,일반대중음식,0211131111,"서울 도봉구 시루봉로 206,1층"
,올리브스낵,일반대중음식,029007799,서울 도봉구 도봉로113길 46 1층
,왕짜장,중식,029006240,"서울 도봉구 도봉로109길 16 （쌍문동, 덕송빌딩）"
,요네바로（yone baro）매점,식품잡화,07040455140,"서울 도봉구 마들로 605, 지하1층 （방학동）"
,우리김밥,한식,029999751,"서울 도봉구 덕릉로60다길 19, 1층 （창동）"
,원빈,한식,029054765,서울 도봉구 도봉로110길 58 1층 102호
,웰빙김밥,한식,029990023,서울 도봉구 덕릉로63가길 61 상가1층103 （창동.대우아）
,이모랑 고모랑,한식,029068920,서울 도봉구 삼양로154길 8 （쌍문동）
,자연맛집,한식,029230529,"서울 도봉구 도봉로 575, 102호 （쌍문동, 삼환프라자）"
,장강,중식,0234929922,서울 도봉구 도당로 108 （방학동）
,종로김밥,한식,029005930,"서울 도봉구 시루봉로 59, 1층 103 （쌍문동）"
,짬뽕1979,중식,0268633790,서울 도봉구 방학로10길 4 （방학동）
,착한식당,한식,0234925999,서울 도봉구 도봉동 30-1 도봉한신@상가 지하1층 87～89호
,채움김밥,한식,029569004,서울 도봉구 도봉로146길 36 상가동1층
,챠이니스,중식,029089877,"서울 도봉구 도봉로110아길 23, 1층 （창동）"
,청송식당,한식,0234929292,서울 도봉구 방학로 56 （방학동）
,최고성,중식,029933154,서울 도봉구 시루봉로6길 93 （쌍문동）
,치파오,중식,029555785,서울 도봉구 도당로13라길 10 （방학동）
,카페 ALO,일반대중음식,0221352021,서울 도봉구 마들로 664-17 3층
,큰맘할매순대국신방학점,한식,029540903,"서울 도봉구 방학로 176, 좌측 1호 （방학동）"
,파리바게뜨,제과점,029058033,"서울 도봉구 덕릉로 252 - 1 지상1,2층"
,파리바게뜨,제과점,029550088,서울 도봉구 방학로 174 （방학동）
,파리바게뜨,제과점,029998203,서울 도봉구 창1동 651-66번지
,파리바게뜨,제과점,029933827,"서울 도봉구 삼양로 582, 1층 104호 105호 （쌍문동）"
,파리바게뜨,제과점,0234917343,"서울 도봉구 방학4동 734번지 청구아파트 B상가 104,105호"
,파리바게뜨,제과점,029958205,서울 도봉구 도봉로 473 （쌍문동）
,파리바게뜨 창동 서부점,제과점,029021188,"서울 도봉구 노해로63길 79, （창동）"
,파리바게뜨 창동녹천점,제과점,029069392,"서울 도봉구 덕릉로 398 17단지 상가 1층 109호,119호"
,파리바게뜨 창동현대,제과점,029078289,서울 도봉구 창동 749-16
,파리바게뜨（방학서부점）,제과점,0234918245,서울 도봉구 시루봉로 220 1층
,파리바게뜨（방학중앙）,제과점,0234940816,서울 도봉구 도봉로 689 （방학동）
,파리바게뜨（신창초교）,제과점,029055545,서울 도봉구 창3동 484-31번지 1층 2층
,파리바게뜨（쌍문초교）,제과점,029076004,"서울 도봉구 노해로41길 26 （쌍문동,1층）"
,파리바게뜨（창동역동부점）,제과점,029918204,"서울 도봉구 마들로11길 73, 105 106호 （창동, 콤마프라자）"
,파리바게뜨（창동제일점）,제과점,029938204,"서울 도봉구 해등로 145, 1층 （창동）"
,파리바게뜨도봉점,제과점,029542179,서울 도봉구 도봉로 891 （도봉동）
,파리바게뜨방학역점,제과점,029563060,"서울 도봉구 도봉로150길 43, ESA상가 106 （방학동）"
,파리바게뜨쌍문사거리점,제과점,029028024,서울 도봉구 도봉로 517 （쌍문동）
,파리바게뜨쌍문신원점,제과점,029928204,"서울 도봉구 해등로 190 （쌍문동, 신원2차아파트）"
,한강반점,중식,029542222,서울 도봉구 도당로27길 47 지상1층
,한솥,한식,029556336,"서울 도봉구 마들로 676-1, 1층 （도봉동）"
,함스브로트,제과점,029964488,서울 도봉구 도봉로 483 （쌍문동）
,협동조합방아골사람들,한식,029542291,서울 도봉구 시루봉로15라길 31 （방학동）
,홍반장,중식,029056565,"서울 도봉구 우이천로 140, 1층 （창동）"
,홍콩반점,중식,0234912338,서울 도봉구 방학로10길 24 （방학동）
,화원,중식,029988888,서울 도봉구 덕릉로59길 93 2층
,황금룡,중식,029559555,서울 도봉구 도당로19길 20 1층
,황제해물짬뽕,중식,0234911500,서울 도봉구 마들로 682 1층
,（주）더에이치엠 한솥도시락 광운대점,한식,029410799,서울 노원구 광운로 20 지하1층
,365 마트,할인점/슈퍼마켓,029334411,"서울 노원구 하계동 256번지 주공아파트단지내상가점포 101,102호"
,5길반찬,일반대중음식,029074789,"서울 노원구 초안산로5길 12 106호 （월계동, 월계프라자）"
,GS25 공릉으뜸점,할인점/슈퍼마켓,0200000000,"서울 노원구 동일로178길 29-4, 1층 102호 （공릉동）"
,감탄,한식,029345959,서울 노원구 한글비석로 466 （상계동）
,감탄,한식,029395889,"서울 노원구 동일로 1554, 104호 （상계동）"
,감탄 중계역점,일반대중음식,029495889,서울 노원구 중계2.3동 512번지 시영2단지상가 102호
,강정의달인,일반대중음식,024495540,"서울 노원구 월계로45길 21 117（월계동,롯데캐슬루나상가）"
,경대컵밥（광운대점）,일반대중음식,029411047,서울 노원구 광운로 17-13 1층 （월계동）
,고빠루,중식,029008891,"서울 노원구 초안산로 7, 207 （월계동, 월계주공2단지아파트）"
,고씨네 서울여대점,일식,029789788,서울 노원구 화랑로51나길 8 2층 203호
,공릉더맛있는김밥,일반대중음식,029482693,서울 노원구 동일로 1104 1층
,국빈,중식,029386400,"서울 노원구 중계로16가길 29, 1층 （중계동）"
,귀빈,양식,029791100,서울 노원구 공릉동 공릉2지구 6단지A상가 203
,김밥나라월계점,한식,029485988,서울 노원구 월계4동 321-2번지 106
,김치와밤참,한식,029752144,서울 노원구 섬밭로 229 상가동 110-1호
,김포할인마트,할인점/슈퍼마켓,029480450,서울 노원구 중계3동 512시영2단지106호
,꿈커피,일반대중음식,029300108,서울 노원구 중계로16길 27 106호
,너랑나,한식,022221111,서울 노원구 덕릉로124길 5 지층 103호（상계동）
,노원한솥도시락,한식,029340603,"서울 노원구 동일로218길 17, 105 2 （상계동, 일신상가）"
,누나네 분식,한식,020000000,서울 노원구 하계동 256중계9단지2상가 1층107호
,누리밥상,한식,029393538,서울 노원구 노원로 333 목련아파트상가 2층 204호
,다사랑분식,일반대중음식,029385253,서울 노원구 상계로9가길 26 （상계동）
,달리는커피노원상계점,일반대중음식,029305953,서울 노원구 상계로12길 55 1층
,닭치고먹어라,일반대중음식,023354300,서울 노원구 상계로37길 2 2구역 15블럭 16롯트 1층
,대림각궁짜장,중식,029492748,서울 노원구 중계2동 505번지 롯데상가 지하1층 4호 11호
,대박난집,중식,029315070,서울 노원구 덕릉로 459-37 주공1단지 가상가 206호
,대학로김가네김밥 （인덕대점）,일반대중음식,029955776,"서울 노원구 초안산로2라길 17, 1층 좌측 （월계동）"
,뚜레쥬르,제과점,029353025,서울 노원구 중계로 116-6 （중계동）
,뚜레쥬르,제과점,024546070,서울 노원구 동일로237길 2 지상1층
,뚜레쥬르 공릉2동점,제과점,029749855,"서울 노원구 공릉로38길 14, 1층 （공릉동）"
,뚜레쥬르 공릉점,제과점,029790045,"서울 노원구 동일로192길 77, 상가동 101호 106호 （공릉동, 동신아파트）"
,뚜레쥬르 까페 광운대역점,제과점,029419855,"서울 노원구 석계로 105, 1층 （월계동）"
,뚜레쥬르 보람한신점,제과점,029335386,"서울 노원구 한글비석로 460, 104호 105호 （상계동, 백산빌딩）"
,뚜레쥬르 월계프라자점,제과점,029049468,"서울 노원구 초안산로5길 12, 112 （월계동, 월계프라자）"
,뚜레쥬르중계브라운점,제과점,029498887,"서울 노원구 동일로203가길 29, 185 （중계동, 브라운스톤중계）"
,락궁,중식,029311147,"서울 노원구 동일로 1645, B동 （상계동）"
,락궁,중식,029352280,"서울 노원구 상계로9가길 29, 1층 （상계동）"
,락궁,중식,029495800,서울 노원구 중계동 512 시영2단지 A상가 지하1
,랑´S찬（랑스찬）,식품잡화,029098822,"서울 노원구 월계로42길 97 상가동 2호（월계동,꿈의숲에스케이뷰）"
,루이스버거,양식,029740201,서울 노원구 동일로192길 74 102호 105호
,리틀파스타,양식,029740201,서울 노원구 동일로192길 62 2층
,만리향,중식,029310114,"서울 노원구 한글비석로23길 38, 1층 （상계동）"
,맘모아 반찬가게,식품잡화,029352015,"서울 노원구 상계로12길 42, 1층 （상계동）"
,맷돌순두부,식품잡화,029741777,서울 노원구 화랑로51길 24 1층
,목화할인마트,할인점/슈퍼마켓,029496394,"서울 노원구 노원로19길 31, 지하 1호 （중계동, 목화아파트）"
,몽둥이 부리또（서울여대점）,일반대중음식,0211131111,서울 노원구 화랑로51길 38 1층 107호（공릉동）
,무지개분식,한식,029784340,"서울 노원구 동일로 1280, 2단지상가 108호 （중계동, 무지개아파트）"
,미담육가,한식,029742435,"서울 노원구 동일로 1700, 221호 （상계동, 토마토파르코）"
,미락,중식,029374555,"서울 노원구 동일로239길 7, 2층 （상계동）"
,민들레김밥과 분식,일반대중음식,029766919,서울 노원구 하계2동 271-3번지 벽산상가 1층 108-1호
,민부곤과자점,제과점,029410008,"서울 노원구 한글비석로 474, 보람상가 157 （상계동）"
,민카페,커피전문점,0263691063,서울 노원구 덕릉로 851 （상계동）
,밀알셍돈까스,양식,07088395430,"서울 노원구 동일로 1356 （상계동, 상계주공4단지아파트）"
,반찬애젓갈,식품잡화,029328989,서울 노원구 한글비석로24나길 8 1층
,배송비_파리바게뜨공릉역점,제과점,029488204,서울 노원구 공릉1.3동 567-5번지
,별다주,한식,0211131111,서울 노원구 중계로12가길 2 1층 103호
,보노돈까스,양식,029372518,"서울 노원구 중계로8길 128 （중계동,외1필지1층）"
,보람동태탕,한식,029303655,서울 노원구 노원로34길 72 （상계동）
,보배반점,중식,029908319,"서울 노원구 초안산로5길 12 1층 107호 （월계동, 월계프라자）"
,본죽（공릉점）,한식,029766280,"서울 노원구 섬밭로 134 114동 110호（공릉동, 풍림아파트B상가）"
,본죽（월계점）,한식,029726233,"서울 노원구 월계로 370, 126호 （월계동, 희성프라자）"
,본죽원자력병원점,일반대중음식,029791122,"서울 노원구 공릉로46길 6, 101 （공릉동, 현대프라자）"
,본프랑스,제과점,029488860,"서울 노원구 공릉로34길 34, 101 （공릉동）"
,봉구스밥버거（월계동점）,일반대중음식,029045094,"서울 노원구 월계로45길 21, 상가동 109호 롯데캐슬루나"
,봉구스밥버거광운대점,한식,029116723,서울 노원구 광운로 7 1층（월계동）
,부자밥상,한식,029314631,"서울 노원구 상계로23다길 5, 1층 （상계동）"
,불금각,중식,029785879,"서울 노원구 동일로207길 23, 유치원상가 1층 108 （중계동, 중계그린아파트）"
,빵굽는마을,일반대중음식,029995564,"서울 노원구 월계로49길 5, 1단지종합상가 104 （월계동）"
,뽀뽀떡볶이,한식,0263155848,"서울 노원구 월계로45길 21, 상가동 1층 114-1호 （월계동, 롯데캐슬 루나）"
,뽀식이네식당,일반대중음식,029375408,서울 노원구 상계로23다길 12 （상계동）
,뽕신,한식,029743200,서울 노원구 동일로 1078 （공릉동）
,사계절김밥,한식,029417789,"서울 노원구 광운로 72, 1층 （월계동）"
,세븐돈까스,한식,029494055,서울 노원구 공릉동 413-3
,세븐돈까스,일반대중음식,029308253,서울 노원구 상계로 97 1층 102호
,손옛날짜장,중식,029300304,"서울 노원구 상계로1길 54-4, 1층 108 （상계동, 상계동센트럴타워）"
,송삼례중화요리,중식,029380763,서울 노원구 한글비석로48길 12 2층 좌측 （상계동）
,쉐프밥버거 광운대점,한식,029094162,"서울 노원구 광운로 15, 1층 103호 （월계동, 금혁빌딩）"
,쉐프의부대찌개,한식,029395937,"서울 노원구 상계로1길 54-4, 2층 204호 （상계동, 상계동센트럴타워）"
,스시하루,일식,029091211,"서울 노원구 석계로 95 1층 3호（월계동, 성북빌딩）"
,신당분식,한식,029418134,서울 노원구 월계1동 482-1번지
,쌍둥이네김밥,한식,029797117,서울 노원구 섬밭로 201 하계시영5단지상가 107
,써브웨이,일반대중음식,029770045,"서울 노원구 공릉로 207, 101호 （공릉동, 세림빌딩）"
,씨스페이스 노원점,할인점/슈퍼마켓,029320346,서울 노원구 상계7동 720 주공6단지 바 상가 101
,씨에프랑스과자점,제과점,029354346,"서울 노원구 노원로 532, 주공9단지상가 107 （상계동）"
,아빵,제과점,0264079090,서울 노원구 초안산로2라길 13 （월계동）
,아이러브피자,패스트푸드,029007550,서울 노원구 월계로45길 21 118.119.131.132호
,양자강,중식,029497878,"서울 노원구 공릉로58길 36, 웅천상가 303 （하계동）"
,엉또김밥&Takeout coffee,한식,07078683324,서울 노원구 노원로34길 84 1층
,엘리제제과점,제과점,029362733,서울 노원구 상계9동 649 고려빌딩 109호
,엘에이김밥（LA김밥）,한식,029340930,"서울 노원구 동일로237길 37, 1층 101호 상가 （상계동, 상계1차현대아파트）"
,오감면발,한식,0211121111,서울 노원구 상계로1길 54-4 107호
,오니기리와이규동,한식,029396290,"서울 노원구 중계로 202, 103 （중계동, 신아프라자）"
,오이시분식,한식,027004601,"서울 노원구 월계로45길 21 138동 142호 （월계동, 롯데캐슬루나아파트）"
,오튀떡볶이,한식,029523300,서울 노원구 상계로27길 20 106호
,오페라과자점,제과점,029488684,서울 노원구 중계2.3동 511-2번지 시영4단지상가 101
,와플팝,일반대중음식,0260105811,"서울 노원구 초안산로2길 34, 1층 （월계동）"
,용궁,중식,029901901,서울 노원구 월계2동 600번지 주공1단지상가 104호 105
,월계관,중식,029986701,서울 노원구 월계2동 556 주공종합상가 206
,이대균과자점,제과점,029369909,서울 노원구 상계3동 72-95
,이삭 토스트 석계역점,일반대중음식,07041235655,서울 노원구 석계로3길 21 1층
,전원반점,중식,029719139,서울 노원구 중계1동 503 시영1단지 B상가 B-2
,제이마트,식품잡화,029484633,서울 노원구 동일로207길 23 그린아파트1단지B상가 101호
,조 S컵밥,일반대중음식,0211121111,서울 노원구 중계로14나길 25 상가2동 1층 106호
,조아愛떡볶이,한식,029743122,서울 노원구 한글비석로 89 청구아파트상가205동106호
,중화명가,중식,0215773457,서울 노원구 상계로 127 （상계동）
,지구마트,할인점/슈퍼마켓,029745261,서울 노원구 동일로 1280 지하15호
,진고개,중식,029366205,서울 노원구 상계4동 49-15번지
,찌개랑 밥먹자,한식,029376546,서울 노원구 상계로 321 1층
,차이니´S（에스）,중식,029493666,서울 노원구 동일로 1039 （공릉동）
,참치&누드,한식,028669300,"서울 노원구 노원로16길 82, 7702동 108호"
,청화반점,중식,029386607,"서울 노원구 한글비석로14길 8, 주공2단지상가 205 （중계동）"
,치즈밥있슈?（issue）,한식,027482260,서울 노원구 공릉2동 745번지 동신아파트 102-107
,치킨마루 당고개점,일반대중음식,029399291,서울 노원구 상계로39길 30 106호
